episode=94, steps=540, epsilon=0.0500, server_farm_reward=208.7700, server_reward=163.2900, episode_total_reward=372.0600, avg_reward_per_step=0.6890, rejected_tasks=140, completed_jobs=48, wall_time=148.12
episode=95, steps=654, epsilon=0.0500, server_farm_reward=323.4900, server_reward=257.8300, episode_total_reward=581.3200, avg_reward_per_step=0.8889, rejected_tasks=111, completed_jobs=55, wall_time=140.43
episode=96, steps=650, epsilon=0.0500, server_farm_reward=315.6900, server_reward=258.6300, episode_total_reward=574.3200, avg_reward_per_step=0.8836, rejected_tasks=92, completed_jobs=47, wall_time=155.09
episode=97, steps=662, epsilon=0.0500, server_farm_reward=301.4000, server_reward=249.8500, episode_total_reward=551.2500, avg_reward_per_step=0.8327, rejected_tasks=146, completed_jobs=51, wall_time=143.89
episode=98, steps=610, epsilon=0.0500, server_farm_reward=289.1200, server_reward=234.4000, episode_total_reward=523.5200, avg_reward_per_step=0.8582, rejected_tasks=129, completed_jobs=51, wall_time=181.4
episode=99, steps=578, epsilon=0.0500, server_farm_reward=318.6000, server_reward=260.0000, episode_total_reward=578.6000, avg_reward_per_step=1.0010, rejected_tasks=103, completed_jobs=52, wall_time=161.51
episode=100, steps=578, epsilon=0.0500, server_farm_reward=225.3200, server_reward=179.8300, episode_total_reward=405.1500, avg_reward_per_step=0.7010, rejected_tasks=163, completed_jobs=51, wall_time=200.77
episode=101, steps=614, epsilon=0.0500, server_farm_reward=284.4200, server_reward=233.6800, episode_total_reward=518.1000, avg_reward_per_step=0.8438, rejected_tasks=112, completed_jobs=49, wall_time=179.75
episode=102, steps=626, epsilon=0.0500, server_farm_reward=309.7400, server_reward=250.5200, episode_total_reward=560.2600, avg_reward_per_step=0.8950, rejected_tasks=114, completed_jobs=52, wall_time=125.35
episode=103, steps=628, epsilon=0.0500, server_farm_reward=297.1100, server_reward=242.1000, episode_total_reward=539.2100, avg_reward_per_step=0.8586, rejected_tasks=109, completed_jobs=50, wall_time=161.12
episode=104, steps=684, epsilon=0.0500, server_farm_reward=360.8200, server_reward=301.6600, episode_total_reward=662.4800, avg_reward_per_step=0.9685, rejected_tasks=138, completed_jobs=52, wall_time=177.31
episode=105, steps=610, epsilon=0.0500, server_farm_reward=318.0300, server_reward=272.9500, episode_total_reward=590.9800, avg_reward_per_step=0.9688, rejected_tasks=111, completed_jobs=50, wall_time=137.16
episode=106, steps=608, epsilon=0.0500, server_farm_reward=270.3300, server_reward=210.7400, episode_total_reward=481.0700, avg_reward_per_step=0.7912, rejected_tasks=118, completed_jobs=51, wall_time=163.82
episode=107, steps=680, epsilon=0.0500, server_farm_reward=408.3900, server_reward=331.3400, episode_total_reward=739.7300, avg_reward_per_step=1.0878, rejected_tasks=78, completed_jobs=54, wall_time=179.12
episode=108, steps=594, epsilon=0.0500, server_farm_reward=312.0300, server_reward=256.8300, episode_total_reward=568.8600, avg_reward_per_step=0.9577, rejected_tasks=134, completed_jobs=53, wall_time=179.6
episode=109, steps=644, epsilon=0.0500, server_farm_reward=315.6100, server_reward=251.8500, episode_total_reward=567.4600, avg_reward_per_step=0.8811, rejected_tasks=80, completed_jobs=48, wall_time=160.64
episode=110, steps=738, epsilon=0.0500, server_farm_reward=442.8900, server_reward=378.9900, episode_total_reward=821.8800, avg_reward_per_step=1.1137, rejected_tasks=79, completed_jobs=52, wall_time=134.44
episode=111, steps=814, epsilon=0.0500, server_farm_reward=501.1500, server_reward=425.2600, episode_total_reward=926.4100, avg_reward_per_step=1.1381, rejected_tasks=55, completed_jobs=53, wall_time=144.12
episode=112, steps=686, epsilon=0.0500, server_farm_reward=358.5300, server_reward=299.6600, episode_total_reward=658.1900, avg_reward_per_step=0.9595, rejected_tasks=96, completed_jobs=52, wall_time=167.32
episode=113, steps=712, epsilon=0.0500, server_farm_reward=397.0000, server_reward=337.9000, episode_total_reward=734.9000, avg_reward_per_step=1.0322, rejected_tasks=120, completed_jobs=52, wall_time=153.7
episode=114, steps=808, epsilon=0.0500, server_farm_reward=471.0500, server_reward=402.3600, episode_total_reward=873.4100, avg_reward_per_step=1.0810, rejected_tasks=131, completed_jobs=55, wall_time=161.66
episode=115, steps=746, epsilon=0.0500, server_farm_reward=447.6000, server_reward=364.8700, episode_total_reward=812.4700, avg_reward_per_step=1.0891, rejected_tasks=43, completed_jobs=55, wall_time=159.61
episode=116, steps=620, epsilon=0.0500, server_farm_reward=320.3300, server_reward=266.1600, episode_total_reward=586.4900, avg_reward_per_step=0.9460, rejected_tasks=98, completed_jobs=50, wall_time=144.58
episode=117, steps=750, epsilon=0.0500, server_farm_reward=441.2900, server_reward=386.3700, episode_total_reward=827.6600, avg_reward_per_step=1.1035, rejected_tasks=92, completed_jobs=51, wall_time=120.7
episode=118, steps=850, epsilon=0.0500, server_farm_reward=507.4500, server_reward=434.2300, episode_total_reward=941.6800, avg_reward_per_step=1.1079, rejected_tasks=83, completed_jobs=52, wall_time=164.32
episode=119, steps=612, epsilon=0.0500, server_farm_reward=271.1400, server_reward=229.2500, episode_total_reward=500.3900, avg_reward_per_step=0.8176, rejected_tasks=119, completed_jobs=46, wall_time=129.13
episode=120, steps=640, epsilon=0.0500, server_farm_reward=322.5700, server_reward=265.4200, episode_total_reward=587.9900, avg_reward_per_step=0.9187, rejected_tasks=111, completed_jobs=51, wall_time=162.16
