episode=82, steps=792, epsilon=0.0100, server_farm_reward=489.8100, server_reward=418.4700, episode_total_reward=908.2800, avg_reward_per_step=1.1468, rejected_tasks=92, completed_jobs=55, wall_time=176.16
episode=83, steps=1002, epsilon=0.0100, server_farm_reward=675.9400, server_reward=577.5100, episode_total_reward=1253.4500, avg_reward_per_step=1.2509, rejected_tasks=41, completed_jobs=58, wall_time=158.66
episode=84, steps=948, epsilon=0.0100, server_farm_reward=613.2200, server_reward=528.7900, episode_total_reward=1142.0100, avg_reward_per_step=1.2047, rejected_tasks=39, completed_jobs=52, wall_time=171.19
episode=85, steps=834, epsilon=0.0100, server_farm_reward=534.8500, server_reward=453.4000, episode_total_reward=988.2500, avg_reward_per_step=1.1850, rejected_tasks=80, completed_jobs=56, wall_time=158.68
episode=86, steps=812, epsilon=0.0100, server_farm_reward=553.0800, server_reward=465.7700, episode_total_reward=1018.8500, avg_reward_per_step=1.2547, rejected_tasks=62, completed_jobs=55, wall_time=181.79
episode=87, steps=840, epsilon=0.0100, server_farm_reward=544.6700, server_reward=457.0300, episode_total_reward=1001.7000, avg_reward_per_step=1.1925, rejected_tasks=50, completed_jobs=56, wall_time=167.98
episode=88, steps=812, epsilon=0.0100, server_farm_reward=509.3600, server_reward=424.0400, episode_total_reward=933.4000, avg_reward_per_step=1.1495, rejected_tasks=95, completed_jobs=56, wall_time=150.34
episode=89, steps=870, epsilon=0.0100, server_farm_reward=572.2000, server_reward=484.8100, episode_total_reward=1057.0100, avg_reward_per_step=1.2150, rejected_tasks=59, completed_jobs=56, wall_time=161.3
episode=90, steps=930, epsilon=0.0100, server_farm_reward=607.9300, server_reward=517.9000, episode_total_reward=1125.8300, avg_reward_per_step=1.2106, rejected_tasks=40, completed_jobs=57, wall_time=142.17
episode=91, steps=936, epsilon=0.0100, server_farm_reward=613.6100, server_reward=527.9500, episode_total_reward=1141.5600, avg_reward_per_step=1.2196, rejected_tasks=67, completed_jobs=57, wall_time=159.28
episode=92, steps=792, epsilon=0.0100, server_farm_reward=478.9500, server_reward=402.3100, episode_total_reward=881.2600, avg_reward_per_step=1.1127, rejected_tasks=96, completed_jobs=56, wall_time=177.61
episode=93, steps=910, epsilon=0.0100, server_farm_reward=590.6200, server_reward=499.3600, episode_total_reward=1089.9800, avg_reward_per_step=1.1978, rejected_tasks=64, completed_jobs=57, wall_time=160.42
episode=94, steps=842, epsilon=0.0100, server_farm_reward=525.5500, server_reward=451.8200, episode_total_reward=977.3700, avg_reward_per_step=1.1608, rejected_tasks=61, completed_jobs=55, wall_time=168.26
episode=95, steps=812, epsilon=0.0100, server_farm_reward=499.3700, server_reward=414.4000, episode_total_reward=913.7700, avg_reward_per_step=1.1253, rejected_tasks=73, completed_jobs=56, wall_time=152.94
episode=96, steps=800, epsilon=0.0100, server_farm_reward=520.6700, server_reward=429.6200, episode_total_reward=950.2900, avg_reward_per_step=1.1879, rejected_tasks=38, completed_jobs=56, wall_time=154.14
episode=97, steps=1054, epsilon=0.0100, server_farm_reward=713.4000, server_reward=612.1800, episode_total_reward=1325.5800, avg_reward_per_step=1.2577, rejected_tasks=26, completed_jobs=58, wall_time=176.46
episode=98, steps=1004, epsilon=0.0100, server_farm_reward=657.8800, server_reward=562.6700, episode_total_reward=1220.5500, avg_reward_per_step=1.2157, rejected_tasks=39, completed_jobs=58, wall_time=157.0
episode=99, steps=1032, epsilon=0.0100, server_farm_reward=706.4700, server_reward=608.5000, episode_total_reward=1314.9700, avg_reward_per_step=1.2742, rejected_tasks=27, completed_jobs=58, wall_time=168.69
episode=100, steps=990, epsilon=0.0100, server_farm_reward=673.9300, server_reward=576.7800, episode_total_reward=1250.7100, avg_reward_per_step=1.2633, rejected_tasks=30, completed_jobs=57, wall_time=166.47
episode=101, steps=944, epsilon=0.0100, server_farm_reward=615.1500, server_reward=536.0200, episode_total_reward=1151.1700, avg_reward_per_step=1.2195, rejected_tasks=57, completed_jobs=54, wall_time=161.1
episode=102, steps=888, epsilon=0.0100, server_farm_reward=562.9500, server_reward=486.0800, episode_total_reward=1049.0300, avg_reward_per_step=1.1813, rejected_tasks=65, completed_jobs=54, wall_time=177.29
episode=103, steps=816, epsilon=0.0100, server_farm_reward=492.2500, server_reward=413.6200, episode_total_reward=905.8700, avg_reward_per_step=1.1101, rejected_tasks=82, completed_jobs=55, wall_time=157.03
episode=104, steps=1044, epsilon=0.0100, server_farm_reward=695.1600, server_reward=590.0800, episode_total_reward=1285.2400, avg_reward_per_step=1.2311, rejected_tasks=30, completed_jobs=60, wall_time=173.63
episode=105, steps=850, epsilon=0.0100, server_farm_reward=519.3900, server_reward=437.4000, episode_total_reward=956.7900, avg_reward_per_step=1.1256, rejected_tasks=61, completed_jobs=56, wall_time=158.17
episode=106, steps=752, epsilon=0.0100, server_farm_reward=459.1100, server_reward=378.0900, episode_total_reward=837.2000, avg_reward_per_step=1.1133, rejected_tasks=56, completed_jobs=55, wall_time=150.74
episode=107, steps=832, epsilon=0.0100, server_farm_reward=542.6600, server_reward=455.4000, episode_total_reward=998.0600, avg_reward_per_step=1.1996, rejected_tasks=56, completed_jobs=55, wall_time=162.07
episode=108, steps=648, epsilon=0.0100, server_farm_reward=339.1000, server_reward=286.3000, episode_total_reward=625.4000, avg_reward_per_step=0.9651, rejected_tasks=122, completed_jobs=50, wall_time=158.59
episode=109, steps=824, epsilon=0.0100, server_farm_reward=536.7700, server_reward=460.2200, episode_total_reward=996.9900, avg_reward_per_step=1.2099, rejected_tasks=57, completed_jobs=53, wall_time=144.26
