episode=70, steps=752, server_farm_reward=428.6300, server_reward=355.6400, episode_total_reward=784.2700, avg_reward_per_step=1.0429, rejected_tasks=70, completed_jobs=55, wall_time=139.97, policy_loss=0.0046, value_loss=0.0299
episode=71, steps=702, server_farm_reward=399.5500, server_reward=338.2500, episode_total_reward=737.8000, avg_reward_per_step=1.0510, rejected_tasks=114, completed_jobs=53, wall_time=147.4, policy_loss=0.0054, value_loss=0.0321
episode=72, steps=674, server_farm_reward=350.2700, server_reward=282.7700, episode_total_reward=633.0400, avg_reward_per_step=0.9392, rejected_tasks=111, completed_jobs=55, wall_time=163.75, policy_loss=0.0033, value_loss=0.0385
episode=73, steps=646, server_farm_reward=353.3400, server_reward=298.0300, episode_total_reward=651.3700, avg_reward_per_step=1.0083, rejected_tasks=112, completed_jobs=52, wall_time=147.74, policy_loss=0.0007, value_loss=0.0353
episode=74, steps=742, server_farm_reward=421.9500, server_reward=362.5400, episode_total_reward=784.4900, avg_reward_per_step=1.0573, rejected_tasks=105, completed_jobs=54, wall_time=177.79, policy_loss=-0.0012, value_loss=0.0231
episode=75, steps=940, server_farm_reward=639.6500, server_reward=546.4200, episode_total_reward=1186.0700, avg_reward_per_step=1.2618, rejected_tasks=38, completed_jobs=57, wall_time=194.86, policy_loss=-0.0329, value_loss=0.0087
episode=76, steps=800, server_farm_reward=514.2600, server_reward=432.8300, episode_total_reward=947.0900, avg_reward_per_step=1.1839, rejected_tasks=52, completed_jobs=54, wall_time=175.78, policy_loss=-0.0322, value_loss=0.0122
episode=77, steps=834, server_farm_reward=546.2600, server_reward=456.6100, episode_total_reward=1002.8700, avg_reward_per_step=1.2025, rejected_tasks=40, completed_jobs=57, wall_time=176.75, policy_loss=-0.0249, value_loss=0.0119
episode=78, steps=864, server_farm_reward=542.6200, server_reward=468.3400, episode_total_reward=1010.9600, avg_reward_per_step=1.1701, rejected_tasks=99, completed_jobs=55, wall_time=152.9, policy_loss=-0.0198, value_loss=0.0155
episode=79, steps=636, server_farm_reward=357.4200, server_reward=298.3000, episode_total_reward=655.7200, avg_reward_per_step=1.0310, rejected_tasks=81, completed_jobs=52, wall_time=151.64, policy_loss=-0.0051, value_loss=0.0226
episode=80, steps=908, server_farm_reward=608.7800, server_reward=507.8000, episode_total_reward=1116.5800, avg_reward_per_step=1.2297, rejected_tasks=27, completed_jobs=58, wall_time=169.28, policy_loss=-0.0310, value_loss=0.0080
episode=81, steps=742, server_farm_reward=457.9500, server_reward=381.6900, episode_total_reward=839.6400, avg_reward_per_step=1.1316, rejected_tasks=91, completed_jobs=56, wall_time=172.14, policy_loss=-0.0148, value_loss=0.0161
episode=82, steps=854, server_farm_reward=526.6800, server_reward=449.5500, episode_total_reward=976.2300, avg_reward_per_step=1.1431, rejected_tasks=69, completed_jobs=55, wall_time=158.86, policy_loss=-0.0084, value_loss=0.0150
episode=83, steps=792, server_farm_reward=507.8200, server_reward=434.4100, episode_total_reward=942.2300, avg_reward_per_step=1.1897, rejected_tasks=107, completed_jobs=56, wall_time=158.17, policy_loss=0.0016, value_loss=0.0132
